time,close,high,low,open,volumefrom,volumeto
1520192040,0.0342,0.0342,0.0341,0.0341,53249.37,1821.13
1520192100,0.0341,0.0342,0.034,0.0342,15004.74,511.05
1520192160,0.0341,0.0342,0.0341,0.0341,7643.61,261.2
1520192220,0.0341,0.0341,0.0341,0.0341,0,0
1520192280,0.0341,0.0341,0.0341,0.0341,0,0
1520192340,0.0341,0.0341,0.0341,0.0341,0,0
1520192400,0.0341,0.0341,0.0341,0.0341,0,0
1520192460,0.0341,0.0341,0.0341,0.0341,0,0
1520192520,0.0342,0.0342,0.0341,0.0341,5000,171
1520192580,0.0341,0.0342,0.0341,0.0342,73615.05,2510.27
1520192640,0.0341,0.0341,0.0339,0.0341,85413.42,2905.76
1520192700,0.0341,0.0341,0.0341,0.0341,0,0
1520192760,0.0341,0.0341,0.0341,0.0341,0,0
1520192820,0.0342,0.0342,0.0341,0.0341,13364.97,457.08
1520192880,0.0342,0.0342,0.0342,0.0342,41386.89,1415.43
1520192940,0.0342,0.0343,0.0342,0.0342,20891.07,714.99
1520193000,0.0342,0.0342,0.0342,0.0342,26158.07,894.61
1520193060,0.0342,0.0342,0.0341,0.0342,61502.3,2101.65
1520193120,0.0342,0.0342,0.0342,0.0342,36403.55,1245
1520193180,0.0342,0.0343,0.0341,0.0342,54784.17,1872.81
1520193240,0.0343,0.0343,0.0342,0.0342,12979.97,445.21
1520193300,0.0343,0.0343,0.0341,0.0343,52166.45,1784.82
1520193360,0.0342,0.0343,0.0342,0.0343,32761.33,1120.44
1520193420,0.0342,0.0343,0.0341,0.0342,31256.15,1069.43
1520193480,0.0342,0.0342,0.0342,0.0342,31721.46,1084.87
1520193540,0.0342,0.0342,0.0342,0.0342,30883.9,1056.23
1520193600,0.0342,0.0343,0.0342,0.0342,29519.14,1010.2
1520193660,0.0344,0.0344,0.0342,0.0342,24151.93,829.49
1520193720,0.0344,0.0345,0.0343,0.0344,50087.13,1720.98
1520193780,0.0343,0.0344,0.0343,0.0344,28317.89,972.13
1520193840,0.0343,0.0345,0.0343,0.0343,23215.96,797.57
1520193900,0.0343,0.0344,0.0343,0.0343,32786.36,1125.04
1520193960,0.0343,0.0344,0.0343,0.0343,38191.03,1312.01
1520194020,0.0343,0.0343,0.0342,0.0343,17957.48,615.57
1520194080,0.0344,0.0344,0.0343,0.0343,25767.67,885.91
1520194140,0.0344,0.0344,0.0343,0.0344,27729.2,952.8
1520194200,0.0344,0.0344,0.0343,0.0344,33890.21,1165.22
1520194260,0.0344,0.0344,0.0343,0.0344,28874.28,992.14
1520194320,0.0343,0.0344,0.0343,0.0344,38071.25,1307
1520194380,0.0342,0.0344,0.0342,0.0343,25120.23,862.32
1520194440,0.0343,0.0343,0.0342,0.0342,22718.77,779.25
1520194500,0.0344,0.0344,0.0342,0.0343,37825.44,1297.54
1520194560,0.0343,0.0344,0.0342,0.0344,81601.77,2799.91
1520194620,0.0344,0.0344,0.0343,0.0343,14773.73,507.69
1520194680,0.0343,0.0344,0.0343,0.0344,19872.91,682.8
1520194740,0.0343,0.0344,0.0343,0.0343,34794.33,1194.82
1520194800,0.0343,0.0344,0.0343,0.0343,30385.96,1043.85
1520194860,0.0343,0.0345,0.0343,0.0343,32404.85,1114.3
1520194920,0.0344,0.0344,0.0343,0.0343,32938.33,1131.12
1520194980,0.0344,0.0344,0.0343,0.0344,46401.97,1594.47
1520195040,0.0343,0.0344,0.0343,0.0344,31905.51,1094.36
1520195100,0.0343,0.0343,0.0342,0.0343,21551.31,738.54
1520195160,0.0343,0.0343,0.0343,0.0343,34793.72,1193.42
1520195220,0.0343,0.0343,0.0343,0.0343,42498.48,1457.7
1520195280,0.0343,0.0343,0.0343,0.0343,31534.25,1081.62
1520195340,0.0343,0.0343,0.0342,0.0343,18383.61,630.05
1520195400,0.0343,0.0343,0.0342,0.0343,29421.95,1008.29
1520195460,0.0343,0.0344,0.0343,0.0343,21993.73,754.64
1520195520,0.0343,0.0343,0.0343,0.0343,34180.06,1172.38
1520195580,0.0343,0.0343,0.0343,0.0343,28510.76,977.92
1520195640,0.0343,0.0344,0.0343,0.0343,29563.55,1014.66
1520195700,0.0343,0.0343,0.0343,0.0343,26811.6,919.64
1520195760,0.0342,0.0343,0.0341,0.0343,33257.59,1136.01
1520195820,0.0342,0.0342,0.0342,0.0342,26377.77,902.12
1520195880,0.0342,0.0342,0.0342,0.0342,28893.05,988.14
1520195940,0.0342,0.0343,0.0342,0.0342,21622.39,739.76
1520196000,0.0342,0.0342,0.0342,0.0342,60068,2054.33
1520196060,0.0343,0.0343,0.0342,0.0342,29943.58,1024.79
1520196120,0.0343,0.0343,0.0343,0.0343,19961.07,684.66
1520196180,0.0343,0.0343,0.0343,0.0343,42148.19,1445.68
1520196240,0.0343,0.0343,0.0343,0.0343,17456.8,598.77
1520196300,0.0343,0.0343,0.0342,0.0343,33716.63,1154.76
1520196360,0.0343,0.0343,0.0342,0.0343,21971.57,753.08
1520196420,0.0343,0.0343,0.0343,0.0343,32018.78,1098.24
1520196480,0.0343,0.0343,0.0343,0.0343,32131.24,1102.1
1520196540,0.0343,0.0343,0.0343,0.0343,42956.29,1473.4
1520196600,0.0343,0.0343,0.0342,0.0343,26602.55,910.85
1520196660,0.0343,0.0343,0.0341,0.0343,37646.88,1291.28
1520196720,0.0342,0.0343,0.0342,0.0343,47892.71,1640.06
1520196780,0.0343,0.0343,0.0342,0.0342,28774.17,986.36
1520196840,0.0342,0.0343,0.0342,0.0343,32632.97,1119.03
1520196900,0.0342,0.0343,0.0342,0.0342,39300.16,1345.92
1520196960,0.0343,0.0343,0.0342,0.0342,24777.07,849.32
1520197020,0.0344,0.0344,0.0343,0.0343,47901.45,1647.31
1520197080,0.0344,0.0344,0.0344,0.0344,55095.4,1895.28
1520197140,0.0344,0.0344,0.0344,0.0344,22906.37,787.98
1520197200,0.0344,0.0344,0.0344,0.0344,87344.28,3004.64
1520197260,0.0344,0.0344,0.0344,0.0344,30559.48,1051.25
1520197320,0.0344,0.0344,0.0344,0.0344,19819.55,681.79
1520197380,0.0344,0.0345,0.0344,0.0344,29024.61,998.9
1520197440,0.0344,0.0344,0.0344,0.0344,0,0
1520197500,0.0345,0.0345,0.0344,0.0344,602.25,20.78
1520197560,0.0345,0.0345,0.0345,0.0345,0,0
1520197620,0.0345,0.0345,0.0345,0.0345,0,0
1520197680,0.0345,0.0345,0.0345,0.0345,0,0
1520197740,0.0345,0.0345,0.0345,0.0345,0,0
1520197800,0.0345,0.0345,0.0345,0.0345,0,0
1520197860,0.0345,0.0345,0.0345,0.0345,0,0
1520197920,0.0345,0.0345,0.0345,0.0345,0,0
1520197980,0.0345,0.0345,0.0345,0.0345,0,0
1520198040,0.0345,0.0345,0.0345,0.0345,0,0
1520198100,0.0344,0.0345,0.0344,0.0345,9769.3,336.37
1520198160,0.0344,0.0344,0.0344,0.0344,32976.66,1134.4
1520198220,0.0343,0.0344,0.0343,0.0344,24066.6,827.14
